"ims_org_id","pred.y"
"INS00006574",3558606.25333939
"INS00006575",24324439.6588478
"INS00006576",6444258.42216672
"INS00006753",327449.422636388
"INS00006825",10908550.8594036
"INS00006826",5171300.41849305
"INS00365886",688269.578473314
"INS00409132",328308.516302609
"INS01021291",329589.236168392
"INS01024405",329733.945008921
"INS01059417",329974.766862292
"INS00005860",371025.551814964
"INS00006587",3647373.99497643
"INS00006828",468988.638266321
"INS00611683",350477.188046944
"INS00001660",550967.313723261
"INS00002486",2278277.87137448
"INS00001556",383563.019224702
"INS00002479",759121.752127009
"INS00006580",434127.053438597
"INS00001659",536438.078443989
"INS00002439",2107973.53860059
"INS00002493",6050906.45417194
"INS00108668",461408.046613606
"INS01009923",351018.559225487
"INS00002432",2117786.01014448
"INS00002470",475988.849799218
"INS00002372",518061.96502596
"INS00002379",413377.881334362
"INS00002402",4853002.90519399
"INS00001555",6791566.17536822
"INS00001557",444163.383216403
"INS00006581",326896.43886855
"INS00103553",521375.268930879
"INS00002382",5244949.59298525
"INS00006745",329473.046380891
"INS00115216",329738.848282491
"INS00002433",1366660.64935066
"INS00002477",2084069.59857252
"INS00002487",401579.957238791
"INS00006583",864719.051890784
"INS00116423",330254.402676787
"INS00451366",334150.988235265
"INS00002373",1245292.90746419
"INS00005859",461724.917387405
"INS00002447",2646701.64099279
"INS00002482",416636.035240527
"INS00006202",616812.770248574
"INS00408952",1136858.03296953
"INS00833879",327677.03554018
"INS00005914",368843.254998397
"INS00002416",7611390.50202664
"INS00002452",1192122.90509436
"INS00005984",5085022.72583697
"INS00006747",329745.377391024
"INS00108704",493362.043191336
"INS00607828",329243.266586366
"INS00002371",7023995.54575104
"INS00002453",356765.336360258
"INS00002461",462722.985092558
"INS00005861",608979.719252174
"INS00005867",402434.031074166
"INS00006744",329591.594715657
"INS00002378",432270.129142805
"INS00002436",358096.334004874
"INS00002384",5310755.62350025
"INS00002396",364852.233615133
"INS01189330",329076.850212803
"INS00002386",533691.742202368
"INS00002478",467164.364313356
"INS00002484",468112.435504297
"INS00002413",2415258.21594382
"INS00002428",4110611.20155542
"INS00002441",1141395.6080792
"INS00005624",17361105.7063508
"INS00005858",851282.938011989
"INS00006750",328486.153139539
"INS00108670",1337354.45068475
"INS00494075",329551.163781266
"INS00745401",331356.657423906
"INS01093866",490742.837346151
"INS00005628",12900091.4523264
"INS00005631",328101.707264349
"INS00564511",330166.084203036
"INS00002385",4742368.36974962
"INS00002411",429510.407524132
"INS00002491",546939.066587568
"INS00002417",1201396.36521493
"INS00006087",858107.693916717
"INS00002449",1171785.05691844
"INS00006086",12760338.7832834
"INS00108691",329960.592918667
"INS00604356",593699.278179414
"INS00001742",524494.70007952
"INS00002407",1514728.36118808
"INS00005134",15746348.0662074
"INS00059498",329112.632951498
"INS01136521",573248.443641037
"INS00002381",341220.719276366
"INS00005862",428653.917414364
"INS00006218",4778823.56063816
"INS00006220",421248.266919763
"INS01110614",388035.540401041
"INS00002377",526632.917387461
"INS00002409",1640707.28233113
"INS00002476",329763.772125918
"INS00005625",13853983.397995
"INS00593893",328606.593741395
"INS00000719",535627.173422144
"INS00005866",1623165.07639429
"INS01005275",561255.835927085
"INS00002404",637768.724545591
"INS00002460",1565514.75714553
"INS00006197",15884953.5030317
"INS00088156",336977.589557961
"INS00116450",451414.403601271
"INS00643553",1477925.64455019
"INS01079622",328928.676658337
"INS00000725",447839.326253492
"INS00002440",23401714.6130831
"INS00006200",329704.764949096
"INS00407489",329412.503330156
"INS00650255",451657.100002444
"INS01180056",329726.011487011
"INS00002412",541825.659506269
"INS00002419",834273.897186341
"INS00006201",556316.154644071
"INS01109762",560704.448486284
"INS01124775",328954.679176221
"INS00002468",3239390.79356823
"INS00834403",1201472.97771488
"INS00002490",738630.115210488
"INS00002397",6004995.13487361
"INS00002459",904677.312681959
"INS00005305",1976177.54841131
"INS01124788",432850.355642236
"INS00005306",329902.395651603
"INS00005626",6738376.59192921
"INS00006746",332022.449139275
"INS00006847",2764985.08813293
"INS00812959",454231.276060003
"INS00002375",395317.165501397
